agent_name,$/Sq. Ft.,On Redfin,HOA,Year Built,Status
Listed by Jacob Reiner,$226,23 days,$190/month,2006,Active
Listed by Kellye Jackson,$116,23 days,None,1916,Active
Listed by Jarrod Enright,$219,23 days,None,2018,Active
Listed by Jarrod Enright,$282,23 days,$294/month,1920,Active
,$361,24 days,$675/month,1976,Active
Listed by Eric Hublar,$260,24 days,"$1,193/month",1963,Active
Listed by Sondra Savino,$298,25 days,$378/month,2003,Active
Listed by Stefanie D'Agostino,$393,26 days,"$3,145/month",1924,Active
Listed by Niko Voutsinas,$371,26 days,$298/month,2003,Active
Listed by Cesar Juarez,,26 days,None,1921,Active
Listed by Stephanie Miller,$320,29 days,$362/month,2001,Active
Listed by Brittany Strale,$358,29 days,$538/month,2007,Active
,$388,29 days,$415/month,2007,Active
Listed by Camie Cirrincione,$500,29 days,$202/month,2021,Active
Listed by Daniel Close,,30 days,"$1,145/month",1972,Active
Listed by Leopoldo Gutierrez,$286,30 days,$295/month,1988,Active
Listed by Jacob Reiner,$648,30 days,"$2,359/month",2017,Active
Listed by Cesar Juarez,$205,31 days,$257/month,1900,Active
Listed by Niko Voutsinas,,31 days,$921/month,1959,Active
Listed by Stephanie Miller,$395,31 days,$278/month,2017,Active
Listed by Cesar Juarez,$156,31 days,$454/month,2005,Active
Listed by Veronica Cepeda,,31 days,None,1928,Active
Listed by Jacob Reiner,$482,32 days,$890/month,2009,Active
Listed by Niko Voutsinas,,33 days,$823/month,1969,Active
,$247,36 days,None,1940,Coming Soon
Listed by Stefanie D'Agostino,$183,37 days,None,1879,Active
Listed by Stacey Dombar,,37 days,$273/month,2022,Active
,$239,38 days,"$2,277/month",1912,Coming Soon
Listed by Miguel Lopez,$250,38 days,$450/month,1970,Active
Listed by Stephanie Miller,$145,39 days,$310/month,1955,Active
,,40 days,$745/month,2008,Active
,$243,40 days,"$1,090/month",1974,Active
Listed by Rosa Flores,$261,40 days,None,1941,Active
Listed by Stephanie Miller,$320,42 days,$822/month,1903,Active
Listed by Layching Quek,$418,43 days,$538/month,1999,Active
Listed by Melissa Kingsbury,$138,43 days,None,1927,Active
Listed by Jerry Brown,$251,44 days,None,1940,Active
Listed by Cesar Juarez,$350,44 days,None,1927,Active
Listed by Daniel Close,$337,44 days,$215/month,2015,Active
Listed by Greg Whelan,$280,45 days,None,,Active
Listed by Jacqueline Alter,$164,46 days,None,1940,Active
Listed by Terrie Whittaker,$350,50 days,$569/month,2001,Active
Listed by Cesar Juarez,,50 days,None,1914,Active
Listed by Jacqueline Colando,,50 days,$576/month,1918,Active
Listed by Cesar Juarez,$165,50 days,None,1923,Active
Listed by Jacqueline Alter,$352,51 days,$292/month,2008,Active
Listed by Cesar Juarez,$459,54 days,"$1,350/month",2005,Active
Listed by Leopoldo Gutierrez,$363,58 days,$918/month,1950,Active
,$375,59 days,$728/month,2008,Coming Soon
Listed by Daniel Close,,59 days,"$1,013/month",2001,Active
Listed by Cesar Juarez,$66,60 days,None,1893,Active
Listed by Jacqueline Alter,$450,61 days,$508/month,2007,Active
Listed by Cesar Juarez,$231,62 days,None,1926,Active
Listed by Jacqueline Alter,$399,64 days,$230/month,2019,Active
Listed by Cesar Juarez,$139,64 days,"$1,366/month",1922,Active
Listed by Gianna Stillo,$258,66 days,$208/month,1925,Active
,$226,71 days,$866/month,1952,Coming Soon
Listed by Daniel Csuk,$288,72 days,$128/month,2007,Active
Listed by Jacqueline Alter,$321,75 days,$334/month,2007,Active
Listed by Cesar Juarez,$424,78 days,$546/month,2009,Active
,$273,87 days,$334/month,1960,Active
Listed by Jacqueline Alter,$270,94 days,$405/month,1926,Active
Listed by Layching Quek,$517,95 days,"$1,208/month",2008,Active
Listed by Jacqueline Colando,$438,113 days,$601/month,2009,Active
Listed by Jean Walker,$233,120 days,$724/month,1904,Active
Listed by Cesar Juarez,$194,123 days,None,1926,Active
Listed by Nichole Dinino,$563,142 days,"$1,275/month",2008,Active
Listed by Cesar Juarez,$275,171 days,$482/month,1965,Active
Listed by Stacey Dombar,,206 days,$75/month,,Active
,,1 day,None,,Active
Listed by Brittany Strale,,85 days,None,,Active
