streetLine,price,hoa,sqFt,pricePerSqFt,lotSize,beds,baths,city,state,zip,postalCode,countryCode,yearBuilt,propertyType,latitude,longitude
194 Commodore Dr,791167,37,2844,278,6098,4,3.0,Verdi,NV,89439,89439,US,2024,SingleFamilyResidence,39.515084,-119.985916
16300 Pyramid Way,1200000,,1757,683,3085354,3,2.0,Reno,NV,89510,89510,US,1990,SingleFamilyResidence,39.818588,-119.6550871
13330 W Saddlebow Dr,2500000,55,5199,481,42253,4,4.5,Reno,NV,89511,89511,US,2002,SingleFamilyResidence,39.3982848,-119.8075071
1436 E 9th St #3,235000,227,832,282,43,2,1.5,Reno,NV,89512,89512,US,1982,SingleFamilyResidence,39.5372274,-119.7960691
3600 Sun Cloud Cir,599000,,2355,254,87860,4,3.0,Reno,NV,89506,89506,US,1996,SingleFamilyResidence,39.6090792,-119.8135341
6140 Philoree Ln,1400000,22,3074,455,49222,4,3.0,Reno,NV,89511,89511,US,2016,SingleFamilyResidence,39.36039,-119.8345521
"200 Talus Way, #522",399000,418,1386,288,,4,4.0,Reno,NV,89503,89503,US,2004,SingleFamilyResidence,39.5613483,-119.8273178
6850 Sharlands #1139,305000,399,930,328,871,2,2.0,Reno,NV,89523,89523,US,2001,SingleFamilyResidence,39.5176019,-119.896144
2301 Solari Dr,1299000,,3079,422,15158,4,2.5,Reno,NV,89509,89509,US,1970,SingleFamilyResidence,39.4878801,-119.8327946
2150 Yuma Ln,849000,,3007,282,13939,4,2.0,Reno,NV,89509,89509,US,1962,SingleFamilyResidence,39.5005182,-119.8376509
1273 Crawford Creek Dr,1078000,77,2475,436,24393,4,2.5,Reno,NV,89521,89521,US,2022,SingleFamilyResidence,39.392785,-119.7249808
2650 Antelope Valley Rd,489000,,1064,460,461300,2,1.0,Reno,NV,89506,89506,US,1989,SingleFamilyResidence,39.7767633,-119.8210735
2955 Lakeside Dr #220,219000,409,677,323,43,1,1.0,Reno,NV,89509,89509,US,1979,SingleFamilyResidence,39.4957921,-119.8080043
9595 Autumn Leaf Way,474900,33,2080,228,5662,3,2.5,Reno,NV,89506,89506,US,2001,SingleFamilyResidence,39.6303965,-119.8711567
7660 S Claridge Pointe Pkwy,380000,130,1536,247,7405,3,2.0,Reno,NV,89506,89506,US,1996,SingleFamilyResidence,39.5923681,-119.8360974
2480 Killington Dr,1000000,24,2888,346,17859,4,4.0,Reno,NV,89511,89511,US,1994,SingleFamilyResidence,39.395603,-119.7810846
5290 Echo Ave,359900,,1016,354,3049,3,2.0,Reno,NV,89506,89506,US,1978,SingleFamilyResidence,39.6539692,-119.8804897
101 Keystone Ave,529900,,1202,441,4356,2,1.0,Reno,NV,89503,89503,US,1928,SingleFamilyResidence,39.5233927,-119.8257127
15095 Pinion Dr,399000,,1248,320,24829,3,2.0,Reno,NV,89521,89521,US,1991,SingleFamilyResidence,39.3878626,-119.7199581
627 E 2nd St,460000,,936,491,3920,2,1.0,Reno,NV,89502,89502,US,1938,SingleFamilyResidence,39.5275544,-119.8035592
4165 Twin Falls Dr,1149000,18,3416,336,12196,5,3.0,Reno,NV,89511,89511,US,1998,SingleFamilyResidence,39.384222,-119.7815594
14205 Saddlebow Ct,1750000,55,3624,483,45302,4,3.5,Reno,NV,89511,89511,US,1995,SingleFamilyResidence,39.4000761,-119.7986652
2190 Bears Ranch Dr,579000,50,1785,324,3484,3,2.5,Reno,NV,89521,89521,US,2013,SingleFamilyResidence,39.442554,-119.7301074
1810 Graysburg Dr,1379000,262,5782,238,14810,5,5.0,Reno,NV,89523,89523,US,2006,SingleFamilyResidence,39.5301707,-119.9340601
3230 Wedekind Rd #46,294999,375,1232,239,1306,2,2.5,Sparks,NV,89431,89431,US,1988,SingleFamilyResidence,39.5530502,-119.7790422
208 Rhodes Rd,765000,,1741,439,47044,4,2.5,Reno,NV,89521,89521,US,1958,SingleFamilyResidence,39.3764248,-119.7442882
921 Estuary Cir,519000,66,1824,285,8276,4,3.0,Reno,NV,89506,89506,US,2020,SingleFamilyResidence,39.6378265,-119.8653012
5435 Mount Rose Hwy,4250000,,1656,2566,220413,3,2.0,Reno,NV,89511,89511,US,1982,SingleFamilyResidence,39.3919292,-119.800166
2634 Owl Rock #64,700000,175,1441,486,871,2,2.5,Reno,NV,89503,89503,US,2024,SingleFamilyResidence,39.518112,-119.842
1529 Foster Dr,449500,395,1803,249,,3,2.5,Reno,NV,89509,89509,US,1973,SingleFamilyResidence,39.5165711,-119.83841
1350 Monte Vista Dr,1595000,3,2837,562,45738,5,3.0,Reno,NV,89511,89511,US,1988,SingleFamilyResidence,39.4357106,-119.7794254
6850 Prestwick Cir,950000,,1923,494,23522,3,2.0,Reno,NV,89502,89502,US,1962,SingleFamilyResidence,39.4961953,-119.7226731
530 Moran Unit SFR plus 4 plex,1350000,,2981,453,6969,6,2.0,Reno,NV,89502,89502,US,1935,Accommodation,39.5210242,-119.8022777
223 Starboard Dr,689000,37,2168,318,6534,3,2.5,Verdi,NV,89439,89439,US,2022,SingleFamilyResidence,39.515039,-119.983934
